Workout_ID,Main Goal,Workout Type,Training Level,Program Duration,Days Per Week,Time Per Workout,Equipment Required_x,Target Gender,Exercise,Sets,Reps,Target Muscle Group,Exercise Type,Equipment Required_y,Mechanics,Force Type,Experience Level,Secondary Muscles,Exercise Type ID,Larger Body Parts
150,0,0,0,0,3,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,152,5.0
150,0,0,0,0,3,0.0,0,0,1,0.0,0.0,1,0,0,0,1.0,0.0,1,3,1.0
150,0,0,0,0,3,0.0,0,0,2,0.0,0.0,2,0,0,0,2.0,1.0,2,4,2.0
150,0,0,0,0,3,0.0,0,0,3,1.0,1.0,3,0,0,0,3.0,1.0,3,90,2.0
150,0,0,0,0,3,0.0,0,0,4,1.0,1.0,4,0,1,1,1.0,1.0,81,14,3.0
150,0,0,0,0,3,0.0,0,0,5,1.0,1.0,5,0,2,1,3.0,1.0,81,6,3.0
150,0,0,0,0,3,0.0,0,0,6,1.0,2.0,6,0,3,1,3.0,1.0,81,5,5.0
150,0,0,0,0,3,0.0,0,0,7,1.0,3.0,7,0,0,0,,0.0,5,25,4.0
150,0,0,0,0,3,0.0,0,0,8,1.0,0.0,6,0,0,0,5.0,0.0,6,2,5.0
150,0,0,0,0,3,0.0,0,0,9,2.0,4.0,6,0,0,0,5.0,1.0,7,2,5.0
150,0,0,0,0,3,0.0,0,0,10,1.0,5.0,8,0,0,0,1.0,1.0,8,52,1.0
150,0,0,0,0,3,0.0,0,0,11,1.0,3.0,9,0,4,0,2.0,1.0,9,1,2.0
150,0,0,0,0,3,0.0,0,0,12,1.0,6.0,1,0,4,0,1.0,0.0,10,119,1.0
150,0,0,0,0,3,0.0,0,0,13,1.0,1.0,3,0,0,1,2.0,1.0,11,88,2.0
150,0,0,0,0,3,0.0,0,0,14,1.0,2.0,10,0,3,1,1.0,1.0,81,8,5.0
150,0,0,0,0,3,0.0,0,0,15,1.0,7.0,7,0,4,1,6.0,1.0,12,72,4.0
150,0,0,0,0,3,0.0,0,0,16,1.0,0.0,0,0,0,0,0.0,0.0,0,152,5.0
150,0,0,0,0,3,0.0,0,0,16,3.0,8.0,0,0,0,0,0.0,0.0,0,152,5.0
150,0,0,0,0,3,0.0,0,0,17,1.0,1.0,1,0,2,0,1.0,1.0,1,3,1.0
150,0,0,0,0,3,0.0,0,0,18,1.0,3.0,2,0,2,0,7.0,1.0,13,23,2.0
150,0,0,0,0,3,0.0,0,0,19,1.0,3.0,8,0,2,0,1.0,0.0,8,28,1.0
150,0,0,0,0,3,0.0,0,0,20,1.0,1.0,4,0,5,1,1.0,1.0,81,19,3.0
150,0,0,0,0,3,0.0,0,0,21,1.0,1.0,5,0,0,1,3.0,1.0,81,64,3.0
150,0,0,0,0,3,0.0,0,0,6,1.0,2.0,6,0,3,1,3.0,1.0,81,5,5.0
150,0,0,0,0,3,0.0,0,0,7,1.0,3.0,7,0,0,0,,0.0,5,25,4.0
151,0,0,1,1,3,2.0,1,0,22,0.0,0.0,0,0,0,0,0.0,0.0,0,152,5.0
151,0,0,1,1,3,2.0,1,0,23,4.0,1.0,1,0,2,0,1.0,1.0,1,3,1.0
151,0,0,1,1,3,2.0,1,0,24,4.0,1.0,2,0,2,0,7.0,1.0,13,23,2.0
151,0,0,1,1,3,2.0,1,0,25,4.0,1.0,8,0,2,0,1.0,1.0,8,7,1.0
151,0,0,1,1,3,2.0,1,0,26,4.0,1.0,0,0,2,0,0.0,1.0,14,109,5.0
151,0,0,1,1,3,2.0,1,0,27,1.0,1.0,5,0,2,1,3.0,1.0,81,6,3.0
151,0,0,1,1,3,2.0,1,0,28,1.0,1.0,4,0,0,1,0.0,1.0,81,19,3.0
151,0,0,1,1,3,2.0,1,0,29,1.0,9.0,10,0,3,1,1.0,1.0,81,8,5.0
151,0,0,1,1,3,2.0,1,0,15,0.0,10.0,7,0,4,1,6.0,1.0,12,72,4.0
151,0,0,1,1,3,2.0,1,0,30,0.0,0.0,1,0,0,0,1.0,0.0,1,3,1.0
151,0,0,1,1,3,2.0,1,0,31,1.0,9.0,1,0,3,1,0.0,1.0,5,82,1.0
151,0,0,1,1,3,2.0,1,0,32,4.0,1.0,0,0,3,1,1.0,1.0,81,73,5.0
151,0,0,1,1,3,2.0,1,0,33,4.0,1.0,6,0,3,1,3.0,1.0,81,5,5.0
151,0,0,1,1,3,2.0,1,0,34,4.0,1.0,9,0,4,0,2.0,1.0,9,1,2.0
151,0,0,1,1,3,2.0,1,0,35,4.0,1.0,8,0,2,1,3.0,1.0,81,16,1.0
151,0,0,1,1,3,2.0,1,0,36,1.0,1.0,5,0,2,1,3.0,1.0,15,15,3.0
151,0,0,1,1,3,2.0,1,0,37,1.0,1.0,4,0,5,1,1.0,1.0,81,121,3.0
151,0,0,1,1,3,2.0,1,0,15,0.0,10.0,7,0,4,1,6.0,1.0,12,72,4.0
151,0,0,1,1,3,2.0,1,0,38,0.0,0.0,6,0,0,0,5.0,0.0,6,2,5.0
151,0,0,1,1,3,2.0,1,0,39,4.0,1.0,1,0,2,0,1.0,1.0,1,7,1.0
151,0,0,1,1,3,2.0,1,0,40,4.0,1.0,8,0,2,1,3.0,1.0,81,16,1.0
151,0,0,1,1,3,2.0,1,0,41,4.0,1.0,9,0,5,0,2.0,1.0,9,47,2.0
151,0,0,1,1,3,2.0,1,0,42,4.0,1.0,0,0,3,0,1.0,1.0,16,10,5.0
151,0,0,1,1,3,2.0,1,0,43,1.0,1.0,5,0,0,1,3.0,1.0,81,122,3.0
151,0,0,1,1,3,2.0,1,0,4,1.0,1.0,4,0,1,1,1.0,1.0,81,14,3.0
151,0,0,1,1,3,2.0,1,0,44,1.0,9.0,3,0,2,1,2.0,1.0,11,88,2.0
151,0,0,1,1,3,2.0,1,0,15,0.0,10.0,7,0,4,1,6.0,1.0,12,72,4.0
152,0,0,0,1,3,2.0,2,0,45,4.0,4.0,0,0,2,0,1.0,1.0,16,123,5.0
152,0,0,0,1,3,2.0,2,0,46,1.0,3.0,6,0,3,1,3.0,1.0,81,5,5.0
152,0,0,0,1,3,2.0,2,0,47,2.0,11.0,10,0,3,1,1.0,1.0,81,8,5.0
152,0,0,0,1,3,2.0,2,0,24,4.0,4.0,2,0,2,0,2.0,1.0,2,23,2.0
152,0,0,0,1,3,2.0,2,0,48,1.0,3.0,9,0,5,0,2.0,1.0,9,12,2.0
152,0,0,0,1,3,2.0,2,0,17,4.0,4.0,1,0,2,0,1.0,1.0,1,3,1.0
152,0,0,0,1,3,2.0,2,0,40,1.0,3.0,8,0,2,1,3.0,1.0,81,16,1.0
152,0,0,0,1,3,2.0,2,0,49,4.0,4.0,6,0,2,0,3.0,1.0,17,2,5.0
152,0,0,0,1,3,2.0,2,0,32,1.0,3.0,0,0,3,1,1.0,1.0,81,73,5.0
152,0,0,0,1,3,2.0,2,0,50,1.0,3.0,2,0,5,0,3.0,1.0,18,22,2.0
152,0,0,0,1,3,2.0,2,0,25,4.0,4.0,8,0,2,0,1.0,1.0,8,7,1.0
152,0,0,0,1,3,2.0,2,0,51,1.0,3.0,1,0,2,0,1.0,1.0,1,3,1.0
152,0,0,0,1,3,2.0,2,0,52,1.0,4.0,4,0,0,1,0.0,0.0,81,14,3.0
152,0,0,0,1,3,2.0,2,0,27,1.0,4.0,5,0,2,1,3.0,1.0,81,6,3.0
152,0,0,0,1,3,2.0,2,0,42,4.0,4.0,0,0,3,0,1.0,1.0,16,10,5.0
152,0,0,0,1,3,2.0,2,0,53,1.0,12.0,0,0,4,0,0.0,1.0,14,36,5.0
152,0,0,0,1,3,2.0,2,0,47,2.0,11.0,10,0,3,1,1.0,1.0,81,8,5.0
152,0,0,0,1,3,2.0,2,0,54,4.0,4.0,2,0,3,0,3.0,1.0,18,53,2.0
152,0,0,0,1,3,2.0,2,0,55,1.0,3.0,8,0,5,0,2.0,1.0,19,106,1.0
152,0,0,0,1,3,2.0,2,0,56,1.0,3.0,1,0,4,0,1.0,1.0,10,9,1.0
152,0,0,0,1,3,2.0,2,0,57,1.0,4.0,4,0,4,0,0.0,1.0,5,9,3.0
152,0,0,0,1,3,2.0,2,0,58,1.0,4.0,5,0,5,1,3.0,1.0,81,117,3.0
153,0,1,0,2,3,0.0,3,0,51,4.0,13.0,1,0,2,0,1.0,1.0,1,3,1.0
153,0,1,0,2,3,0.0,3,0,59,2.0,1.0,1,0,0,0,1.0,1.0,1,3,1.0
153,0,1,0,2,3,0.0,3,0,60,1.0,14.0,4,0,4,0,0.0,1.0,20,96,3.0
153,0,1,0,2,3,0.0,3,0,61,1.0,1.0,4,0,0,1,0.0,0.0,81,19,3.0
153,0,1,0,2,3,0.0,3,0,62,4.0,1.0,9,0,4,0,2.0,1.0,9,1,2.0
153,0,1,0,2,3,0.0,3,0,63,1.0,9.0,2,0,5,0,3.0,1.0,18,124,2.0
153,0,1,0,2,3,0.0,3,0,18,1.0,1.0,2,0,2,0,7.0,1.0,13,23,2.0
153,0,1,0,2,3,0.0,3,0,64,1.0,5.0,5,0,0,1,3.0,1.0,81,64,3.0
153,0,1,0,2,3,0.0,3,0,65,4.0,13.0,0,0,3,0,1.0,1.0,16,10,5.0
153,0,1,0,2,3,0.0,3,0,32,1.0,9.0,0,0,3,1,1.0,1.0,81,73,5.0
153,0,1,0,2,3,0.0,3,0,33,1.0,9.0,6,0,3,1,3.0,1.0,81,5,5.0
153,0,1,0,2,3,0.0,3,0,66,4.0,5.0,8,0,0,0,1.0,0.0,21,21,1.0
153,0,1,0,2,3,0.0,3,0,67,1.0,1.0,8,0,2,1,3.0,1.0,81,16,1.0
154,0,1,0,3,3,0.0,4,0,68,4.0,1.0,1,0,3,0,1.0,1.0,1,3,1.0
154,0,1,0,3,3,0.0,4,0,69,1.0,2.0,1,0,3,0,1.0,1.0,20,112,1.0
154,0,1,0,3,3,0.0,4,0,70,1.0,2.0,1,0,3,1,0.0,1.0,5,29,1.0
154,0,1,0,3,3,0.0,4,0,71,4.0,1.0,8,0,3,0,1.0,1.0,8,59,1.0
154,0,1,0,3,3,0.0,4,0,72,1.0,2.0,8,0,3,1,0.0,1.0,81,16,1.0
