User,Day,Exercise,Muscle Group,Sets,Reps,Pause (sec),Weight (kg)
piotr,1,Barbell Hip Thrust,Glutes,4,10,50,40.0
piotr,1,Walking Lunges,Legs,5,8,70,0.0
piotr,1,Zercher Squat (Sumo Stance),Legs,5,11,30,0.0
piotr,1,Walking Dumbbell Lunge,Legs,4,12,70,0.0
piotr,2,Back Extensions,Glutes,5,8,30,135.0
piotr,2,Walking Barbell Lunge,Legs,5,10,50,0.0
piotr,2,Narrow Grip Bench Press,Arms,3,9,80,9.0
piotr,2,Bodyweight Glute Bridge,Glutes,5,11,90,0.0
piotr,3,Good Mornings,Glutes,4,8,80,0.0
piotr,3,Seated Barbell Calf Raise,Legs,5,10,90,0.0
piotr,3,Walking Lunges,Legs,4,8,30,0.0
piotr,3,Zercher Squat (Sumo Stance),Legs,4,12,60,0.0
adam,1,Barbell Hip Thrust,Glutes,4,13,15,40.0
adam,1,Deadlifts,Legs,2,12,60,50.0
adam,1,Squats,Legs,4,14,15,0.0
adam,1,Stiff Leg Deadlift,Legs,4,18,30,0.0
adam,2,Good Morning,Glutes,3,12,45,0.0
adam,2,Weighted Hyperextensions,Glutes,2,14,45,94.55625
adam,2,Squats- Up to 495,Legs,3,14,15,0.0
adam,2,Barbell Lunge,Legs,4,16,15,0.0
adam,3,Hip Thrust,Glutes,3,15,15,0.0
adam,3,Barbell Lunges,Legs,4,14,15,0.0
adam,3,Barbell Hip Thrust,Glutes,2,19,30,40.0
adam,3,Deadlifts,Legs,2,16,60,50.0
tomek,1,Barbell Hip Thrust,Glutes,4,8,80,40.0
tomek,1,Front Squat,Legs,3,8,70,0.0
tomek,1,Stiff Leg Deadlifts,Legs,5,9,80,0.0
tomek,1,Good Mornings,Glutes,4,11,70,0.0
tomek,2,Band Good Mornings,Glutes,4,12,70,0.0
tomek,2,Stiff Leg Deadlift,Legs,5,10,90,0.0
tomek,2,Deadlift,Legs,3,8,50,0.0
tomek,2,Barbell Squat,Legs,4,9,60,0.0
tomek,3,Deadlifts,Legs,3,8,50,50.0
tomek,3,Squats,Legs,4,12,30,0.0
tomek,3,Front Squat,Legs,3,8,70,0.0
tomek,3,Barbell Hip Thrust,Glutes,3,10,90,40.0
,1,Standing Overhead Barbell Press,Chest&Shoulders,4,10,50,0.0
,1,Barbell Bench Press,Chest&Shoulders,4,10,50,0.0
,1,Overhead Press,Chest&Shoulders,3,8,30,0.0
,1,Standing Overhead Press*,Chest&Shoulders,3,8,90,0.0
,2,Standing Barbell Press,Chest&Shoulders,5,11,70,0.0
,2,Military Press,Chest&Shoulders,3,12,80,0.0
,2,Bench Press/Dumbbell Fly superset,Chest&Shoulders,5,8,30,0.0
,2,Barbell Front Squat,Legs,3,11,70,0.0
,3,Barbell Overhead Press,Chest&Shoulders,3,9,50,0.0
,3,Machine Rear Delt Fly,Chest&Shoulders,4,11,30,0.0
,3,Standing Overhead Barbell Press,Chest&Shoulders,3,12,80,0.0
,3,Barbell Bench Press,Chest&Shoulders,5,8,80,0.0
olga,1,Deadlifts,Legs,4,12,45,50.0
olga,1,Rack-Pull Deadlift,Legs,2,14,45,36.0
olga,1,Deadlifts with Chains,Legs,4,18,60,36.0
olga,1,Deadlift,Legs,4,13,45,36.0
olga,1,Stiff-Legged Deadlift,Legs,2,13,45,36.0
olga,1,Front Squat,Legs,2,19,45,36.0
olga,2,Squat,Legs,2,17,60,36.0
olga,2,Squats,Legs,2,20,30,36.0
olga,2,Reverse Lunge,Legs,3,12,60,36.0
olga,2,Paused Squats,Legs,4,16,45,36.0
olga,2,Bench Press/Dumbbell Fly superset,Chest&Shoulders,4,19,30,22.5
olga,2,Barbell Bench Press,Chest&Shoulders,4,12,45,22.5
olga,3,Bench Press,Chest&Shoulders,2,20,30,22.5
olga,3,Military Press*,Chest&Shoulders,2,14,45,22.5
olga,3,Barbell Military Press,Chest&Shoulders,4,18,30,22.5
olga,3,Military Press,Chest&Shoulders,3,14,15,22.5
olga,3,Standing Overhead Barbell Press,Chest&Shoulders,4,12,15,22.5
olga,3,Overhead Press,Chest&Shoulders,4,15,45,22.5
olga,1,Deadlifts,Legs,2,16,30,50.0
olga,1,Rack-Pull Deadlift,Legs,2,13,30,0.6
olga,1,Deadlifts with Chains,Legs,3,12,15,0.6
olga,1,Deadlift,Legs,3,18,60,0.6
olga,1,Stiff-Legged Deadlift,Legs,4,14,60,0.6
olga,1,Front Squat,Legs,4,12,45,0.6
olga,2,Squat,Legs,2,15,15,0.6
olga,2,Squats,Legs,4,17,15,0.6
olga,2,Reverse Lunge,Legs,4,16,45,0.6
olga,2,Paused Squats,Legs,4,20,60,0.6
olga,2,Bench Press/Dumbbell Fly superset,Chest&Shoulders,2,12,45,0.4
olga,2,Barbell Bench Press,Chest&Shoulders,4,16,15,0.4
olga,3,Bench Press,Chest&Shoulders,2,20,45,0.4
olga,3,Military Press*,Chest&Shoulders,4,12,45,0.4
olga,3,Barbell Military Press,Chest&Shoulders,4,19,45,0.4
olga,3,Military Press,Chest&Shoulders,2,12,45,0.4
olga,3,Standing Overhead Barbell Press,Chest&Shoulders,2,15,30,0.4
olga,3,Overhead Press,Chest&Shoulders,4,16,60,0.4
olek,1,Ab Wheel Roll Out,Core,4,8,90,0.0
olek,1,Lying Tricep Extension,Arms,4,7,80,0.0
olek,1,Barbell or Ab Wheel Roll Outs,Core,4,12,30,0.0
olek,1,Wide Grip Barbell Upright Row,Back,5,6,70,0.0
olek,2,Lying knee raises,Core,3,8,90,0.0
olek,2,Rotating Mountain Climber,Core,3,7,40,0.0
olek,2,Skullcrusher,Arms,3,7,30,0.0
olek,2,One Arm Barbell Row,Back,3,9,40,0.0
olek,3,"Incline Skull Crushers (Aim for 12-15 reps for the first set, as many as you can get for the second set.)",Arms,4,6,90,0.0
olek,3,Deadlift,Legs,5,11,60,0.0
